2047 0.2 0.0 1 2047 dconf-service 3
2052 0.4 0.0 1 2052 gsd-printer 2
2058 0.2 0.0 2014 2058 gconf-helper 1
2060 0.2 0.0 1 2060 gconfd-2 1
2068 5.6 1.6 1837 2068 gala 5
2070 0.0 0.0 1 2070 systemd-localed 1
2074 0.3 0.0 1927 2074 ibus-engine-sim 3
2085 0.3 0.0 1837 2085 cerbere 4
2088 1.7 0.1 1837 2088 nm-applet 4
2089 0.4 0.0 1837 2089 indicator-appli 2
2090 0.7 0.0 1837 2090 indicator-datet 6
2093 0.2 0.0 1837 2093 indicator-bluet 3
2094 0.3 0.0 1837 2094 indicator-messa 4
2100 0.3 0.0 1837 2100 indicator-power 3
2106 0.9 0.0 1837 2106 light-locker 4
2109 0.9 0.0 1837 2109 polkit-gnome-au 3
2110 0.3 0.0 1837 2110 indicator-sessi 3
2116 0.5 0.0 1837 2116 indicator-sound 4
2130 1.6 0.2 2085 2130 wingpanel 4
2137 1.5 0.3 2085 2137 plank 3
2138 2.8 1.5 2085 2138 slingshot-launc 10
2146 1.1 0.1 1 2146 bamfdaemon 3
2154 0.9 0.0 1 2154 evolution-sourc 3
2162 1.3 0.1 1 2162 indicator-keybo 4
2178 0.3 0.0 1 2178 zeitgeist-daemo 2
2184 0.7 0.0 1 2184 zeitgeist-fts 3
2186 0.7 0.2 1 2186 zeitgeist-datah 5
2192 2.6 0.2 1 2192 evolution-calen 5
2200 0.0 0.0 2184 2200 cat 1
2235 0.4 0.0 1 2235 gvfs-udisks2-vo 3
2252 0.4 0.1 1 2252 udisksd 5
2261 0.3 0.0 1 2261 gvfs-afc-volume 3
2266 0.2 0.0 1 2266 gvfs-mtp-volume 2
2270 0.3 0.0 1 2270 gvfs-gphoto2-vo 2
2290 13.9 8.7 1 2290 firefox 41
2312 14.7 7.6 1 2312 qtcreator 8
2326 1.2 0.3 1837 2326 applet.py 2
2349 3.0 0.8 1 2349 scp-dbus-servic 4
2397 1.2 0.1 1837 2397 update-notifier 4
2454 4.1 54.3 2312 
